"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
S100A13,0,1.65508688401929,0.722,0.306,0,Positive,S100A13
S100A16,0,1.23136623184076,0.677,0.279,0,Positive,S100A16
TMEM14C,0,0.98768752436363,0.728,0.33,0,Positive,TMEM14C
KRT8,0,1.69702999647198,0.65,0.255,0,Positive,KRT8
LGALS3BP,0,1.1150574051019,0.695,0.301,0,Positive,LGALS3BP
MDK,0,1.51434092331619,0.678,0.285,0,Positive,MDK
PHPT1,0,1.01863859705192,0.744,0.351,0,Positive,PHPT1
BEX3,0,1.38768410946699,0.641,0.249,0,Positive,BEX3
PCBD1,0,1.39442072766934,0.619,0.233,0,Positive,PCBD1
RAB13,0,0.935262617553299,0.719,0.333,0,Positive,RAB13
TMEM147,0,0.944799566704226,0.764,0.381,0,Positive,TMEM147
TM4SF1,0,1.29298787978265,0.708,0.325,0,Positive,TM4SF1
KRT18,0,1.71763860760038,0.64,0.259,0,Positive,KRT18
PHB,0,0.910922683292303,0.698,0.317,0,Positive,PHB
NECTIN2,0,1.0909013799733,0.671,0.291,0,Positive,NECTIN2
LAPTM4B,0,1.61504372362613,0.6,0.221,0,Positive,LAPTM4B
FIS1,0,1.05130161606325,0.753,0.375,0,Positive,FIS1
PTMS,0,1.05143325985185,0.714,0.336,0,Positive,PTMS
DUSP23,0,1.21823378022686,0.614,0.24,0,Positive,DUSP23
PSMB5,0,0.827585949633825,0.729,0.355,0,Positive,PSMB5
CYC1,0,1.12479652057723,0.76,0.388,0,Positive,CYC1
HCFC1R1,0,1.24468687422389,0.648,0.277,0,Positive,HCFC1R1
CD151,0,1.06436416649339,0.646,0.276,0,Positive,CD151
BANF1,0,0.874543057354686,0.76,0.391,0,Positive,BANF1
TNFRSF12A,0,0.884999489359244,0.736,0.367,0,Positive,TNFRSF12A
GIPC1,0,1.52558951136207,0.562,0.194,0,Positive,GIPC1
CRIP2,0,1.73735521471169,0.539,0.171,0,Positive,CRIP2
KRT19,0,1.80526879988288,0.582,0.214,0,Positive,KRT19
LAMTOR2,0,0.802141881357834,0.679,0.313,0,Positive,LAMTOR2
CD9,0,1.38961160277836,0.705,0.339,0,Positive,CD9
ATP5G1,0,0.824084232795208,0.701,0.335,0,Positive,ATP5G1
DDAH2,0,0.94965994276817,0.672,0.307,0,Positive,DDAH2
C16orf13,0,0.779153329458643,0.667,0.302,0,Positive,C16orf13
EMP1,0,0.846481997390445,0.714,0.349,0,Positive,EMP1
NME1,0,0.871765194987987,0.655,0.291,0,Positive,NME1
NHP2,0,0.895859196458325,0.738,0.374,0,Positive,NHP2
MSLN,0,1.80145346100105,0.514,0.15,0,Positive,MSLN
RND3,0,0.68220334019189,0.621,0.258,0,Positive,RND3
PLK2,0,0.867382794519211,0.615,0.252,0,Positive,PLK2
NAA38,0,0.929261781482308,0.628,0.265,0,Positive,NAA38
NME4,0,1.29541691365808,0.563,0.2,0,Positive,NME4
NDUFB7,0,1.00971810724285,0.8,0.439,0,Positive,NDUFB7
DSP,0,1.67517277694112,0.516,0.155,0,Positive,DSP
KRT7,0,1.80380063472382,0.545,0.185,0,Positive,KRT7
SLC25A39,0,0.98771804399809,0.62,0.26,0,Positive,SLC25A39
CAPNS1,0,1.02060329495357,0.598,0.239,0,Positive,CAPNS1
C19orf33,0,1.84793385782767,0.522,0.163,0,Positive,C19orf33
HMGN3,0,1.10252712299654,0.646,0.288,0,Positive,HMGN3
ZNF428,0,0.749248674770162,0.618,0.261,0,Positive,ZNF428
ANAPC11,0,0.921216948781756,0.806,0.451,0,Positive,ANAPC11
EPCAM,0,1.69373622760909,0.513,0.158,0,Positive,EPCAM
ASS1,0,1.72137728023641,0.504,0.149,0,Positive,ASS1
ECHS1,0,0.994599031166133,0.584,0.229,0,Positive,ECHS1
CLDN4,0,1.77600908772691,0.537,0.183,0,Positive,CLDN4
CLDN3,0,1.86471421165378,0.508,0.154,0,Positive,CLDN3
PPP1R14B,0,1.01877491509838,0.737,0.383,0,Positive,PPP1R14B
PDLIM1,0,1.24861620961498,0.558,0.205,0,Positive,PDLIM1
PTRHD1,0,0.899006129158573,0.609,0.256,0,Positive,PTRHD1
SOX4,0,0.927317030181994,0.651,0.299,0,Positive,SOX4
NAXE,0,1.00734872136243,0.583,0.231,0,Positive,NAXE
FIBP,0,0.871954428429656,0.579,0.227,0,Positive,FIBP
FAM162A,0,0.972393997289433,0.628,0.277,0,Positive,FAM162A
WFDC2,0,1.84727185160103,0.592,0.241,0,Positive,WFDC2
CD24,0,1.81059871484684,0.561,0.211,0,Positive,CD24
PHLDA2,0,0.974984917994448,0.646,0.296,0,Positive,PHLDA2
PRDX2,0,0.943254304098362,0.635,0.285,0,Positive,PRDX2
ZNF593,0,0.859663620147411,0.61,0.26,0,Positive,ZNF593
LSM4,0,0.879245992677162,0.625,0.275,0,Positive,LSM4
PNKD,0,0.956298510050006,0.576,0.227,0,Positive,PNKD
HSPB1,0,0.826953300869734,0.806,0.458,0,Positive,HSPB1
CNN3,0,1.12734900637971,0.569,0.221,0,Positive,CNN3
PRDX5,0,1.18786055783014,0.827,0.479,0,Positive,PRDX5
STRA13,0,0.977376814028085,0.578,0.23,0,Positive,STRA13
BCAM,0,1.96437224484884,0.491,0.143,0,Positive,BCAM
TPM1,0,1.18530944698653,0.556,0.209,0,Positive,TPM1
YIF1A,0,0.827606391756561,0.599,0.252,0,Positive,YIF1A
NDUFB5,0,0.819259814739119,0.606,0.26,0,Positive,NDUFB5
HEBP2,0,1.11784004212829,0.713,0.367,0,Positive,HEBP2
ARPC1A,0,0.897474514118165,0.591,0.245,0,Positive,ARPC1A
MRPS16,0,0.822875726267868,0.589,0.243,0,Positive,MRPS16
SPINT2,0,1.58757875648053,0.618,0.272,0,Positive,SPINT2
TACSTD2,0,1.79247824628531,0.537,0.192,0,Positive,TACSTD2
MYL6B,0,1.13934430307819,0.543,0.198,0,Positive,MYL6B
MFGE8,0,1.41795347351059,0.567,0.222,0,Positive,MFGE8
CHCHD10,0,1.12712030791682,0.68,0.336,0,Positive,CHCHD10
FAAP20,0,0.785822782918008,0.609,0.266,0,Positive,FAAP20
ELF3,0,1.74601066513853,0.49,0.147,0,Positive,ELF3
MAL2,0,1.64345723318295,0.489,0.146,0,Positive,MAL2
NDUFV1,0,0.804463555162607,0.584,0.241,0,Positive,NDUFV1
TSTD1,0,0.969472872503914,0.602,0.26,0,Positive,TSTD1
MRPL11,0,0.783271853038947,0.586,0.245,0,Positive,MRPL11
BLVRB,0,0.846564311708906,0.582,0.241,0,Positive,BLVRB
TMED3,0,0.916921608311916,0.586,0.246,0,Positive,TMED3
FLOT1,0,0.823869129728546,0.591,0.252,0,Positive,FLOT1
DNPH1,0,0.715315148257034,0.583,0.244,0,Positive,DNPH1
CTTN,0,1.28786057830649,0.52,0.182,0,Positive,CTTN
LYRM4,0,0.883059192021651,0.571,0.234,0,Positive,LYRM4
PTOV1,0,0.925732910295171,0.556,0.22,0,Positive,PTOV1
MRPL12,0,0.883615289266549,0.589,0.253,0,Positive,MRPL12
DMKN,0,1.57172130869039,0.488,0.152,0,Positive,DMKN
CRABP2,0,1.5971981886453,0.517,0.182,0,Positive,CRABP2
SLC39A4,0,1.6548958169195,0.489,0.154,0,Positive,SLC39A4
ARL2,0,0.966853141992398,0.552,0.218,0,Positive,ARL2
IGFBP2,0,1.58809467538447,0.562,0.229,0,Positive,IGFBP2
SLPI,0,1.76655517491447,0.615,0.282,0,Positive,SLPI
BCL7C,0,0.819800167915928,0.567,0.236,0,Positive,BCL7C
CYR61,0,1.08454627345304,0.531,0.201,0,Positive,CYR61
CLU,0,1.49783120132896,0.585,0.255,0,Positive,CLU
CLDN7,0,1.74032229648286,0.458,0.129,0,Positive,CLDN7
MSRB2,0,1.30512666727257,0.491,0.163,0,Positive,MSRB2
AK2,0,0.932033586163197,0.539,0.212,0,Positive,AK2
C6orf132,0,1.73105704250023,0.451,0.125,0,Positive,C6orf132
NUDT14,0,1.28181599941821,0.484,0.158,0,Positive,NUDT14
TMEM141,0,1.20336354988101,0.508,0.183,0,Positive,TMEM141
KLF5,0,1.29948981679362,0.493,0.168,0,Positive,KLF5
TMEM261,0,0.939899617588693,0.526,0.202,0,Positive,TMEM261
CITED4,0,1.3794795800022,0.5,0.177,0,Positive,CITED4
MLF1,0,1.02469748897599,0.522,0.199,0,Positive,MLF1
