tred,repeat_times,alpha_samples,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.5,7,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,11,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,10,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
3,14,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
2.5,19,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
4.5,9,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
5,9,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
2,12,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
3,7,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
2,10,5e-04|0.001|0.005|0.01|0.05,0.901116374598337,0.370518742590852,0.629481257409149,0.098883625401663,0.750068935090719,0.901116374598337,0.818683881841301,0.779524245196706
